Wall time,Step,Value
1666269902.5979376,0,0.7498642802238464
1666269946.9553905,1,0.8032803535461426
1666269990.2361028,2,0.8794040679931641
1666270034.6630623,3,0.8808695077896118
1666270077.5721083,4,0.9157915115356445
1666270122.424288,5,0.9143977165222168
1666270164.8577516,6,0.9157105684280396
1666270207.8405914,7,0.9365288615226746
1666270253.9603887,8,0.9432320594787598
1666270302.647799,9,0.9502540826797485
1666270357.8350668,10,0.9502776861190796
1666270401.5724664,11,0.9459676742553711
1666270446.04114,12,0.957242488861084
1666270490.009884,13,0.961418867111206
1666270532.8667681,14,0.9651007652282715
1666270581.4715238,15,0.9518887996673584
1666270624.590029,16,0.9661215543746948
1666270667.5867546,17,0.9590393304824829
1666270710.4151995,18,0.9645192623138428
1666270753.1922894,19,0.9384702444076538
1666270796.9012725,20,0.9401242733001709
1666270847.980328,21,0.9575840830802917
1666270895.5102684,22,0.9683276414871216
1666270943.2381487,23,0.9674086570739746
1666270986.9923093,24,0.9728349447250366
1666271030.146182,25,0.9746252298355103
1666271073.366866,26,0.9746636152267456
1666271117.0136063,27,0.9710914492607117
1666271160.075482,28,0.9665102362632751
1666271203.5141757,29,0.823733925819397
1666271246.8130372,30,0.9547831416130066
1666271290.1454043,31,0.9692224264144897
1666271333.2612622,32,0.9737190008163452
1666271376.2834423,33,0.9719282984733582
1666271419.327699,34,0.9674431681632996
1666271462.3651407,35,0.9744971990585327
1666271505.3552845,36,0.971237301826477
1666271548.2989836,37,0.9712790846824646
1666271591.2478914,38,0.9736980199813843
1666271634.7316163,39,0.9709746241569519
1666271677.7682555,40,0.9693306684494019
1666271720.5693462,41,0.9730412364006042
1666271763.534932,42,0.9744710922241211
1666271806.6346626,43,0.9698311686515808
1666271849.4696276,44,0.9754137992858887
1666271893.030115,45,0.9697468280792236
1666271936.1376886,46,0.9746365547180176
1666271980.5454009,47,0.9749569892883301
1666272023.455279,48,0.9733442068099976
1666272066.5237908,49,0.9713784456253052
1666272110.1499918,50,0.97528076171875
1666272153.463153,51,0.9678418040275574
1666272196.2183223,52,0.9738855361938477
1666272239.4591613,53,0.9712729454040527
1666272282.4666705,54,0.9706799387931824
1666272325.153327,55,0.9731626510620117
1666272367.8268242,56,0.9752401113510132
1666272410.5993829,57,0.9717197418212891
1666272453.422454,58,0.9709812998771667
1666272496.198264,59,0.970752477645874
1666272539.272736,60,0.970716118812561
1666272586.4330564,61,0.972432017326355
1666272629.801786,62,0.9746303558349609
1666272677.1981847,63,0.9732211828231812
1666272720.1987739,64,0.9710454940795898
1666272763.3247685,65,0.9649645686149597
1666272806.6365774,66,0.9634398221969604
1666272853.4121752,67,0.9698370695114136
1666272897.0245125,68,0.9686856269836426
1666272941.394198,69,0.9717369079589844
1666272984.8304749,70,0.9721516370773315
1666273028.5809925,71,0.9711874723434448
1666273072.0845897,72,0.9688539505004883
1666273116.2691298,73,0.9742388725280762
1666273159.6242368,74,0.9728643298149109
1666273203.2037516,75,0.9715546369552612
1666273246.596944,76,0.9746437072753906
1666273290.0595043,77,0.9716423749923706
1666273336.1343687,78,0.9697765111923218
1666273380.573444,79,0.972244918346405
1666273425.3136075,80,0.9719034433364868
1666273469.308563,81,0.973645806312561
1666273512.9128253,82,0.9664878845214844
1666273557.0943317,83,0.9731274843215942
1666273602.5384014,84,0.973387598991394
1666273649.7732015,85,0.9686257839202881
1666273698.711107,86,0.9763450026512146
1666273743.2081692,87,0.9725567698478699
1666273788.164718,88,0.9712063670158386
1666273832.1646156,89,0.976335883140564
1666273877.3090935,90,0.9681462049484253
1666273922.7659914,91,0.972118616104126
1666273968.1583028,92,0.9731683135032654
1666274012.6429682,93,0.9673096537590027
1666274056.892889,94,0.9709129333496094
1666274105.1859243,95,0.9732812643051147
1666274150.7045481,96,0.9705294966697693
1666274194.7958255,97,0.9678481817245483
1666274239.2263515,98,0.9737198352813721
1666274285.2664838,99,0.9742074012756348
