Wall time,Step,Value
1666269902.5979376,0,0.8120721578598022
1666269946.9553905,1,0.8712141513824463
1666269990.2361028,2,0.9153425097465515
1666270034.6630623,3,0.920292854309082
1666270077.5721083,4,0.9396814107894897
1666270122.424288,5,0.9367136359214783
1666270164.8577516,6,0.9392135143280029
1666270207.8405914,7,0.9546270370483398
1666270253.9603887,8,0.9578979015350342
1666270302.647799,9,0.9626897573471069
1666270357.8350668,10,0.9616138935089111
1666270401.5724664,11,0.9589244723320007
1666270446.04114,12,0.9673652052879333
1666270490.009884,13,0.9707458019256592
1666270532.8667681,14,0.9744188189506531
1666270581.4715238,15,0.9636214971542358
1666270624.590029,16,0.9737021327018738
1666270667.5867546,17,0.969454288482666
1666270710.4151995,18,0.9724268913269043
1666270753.1922894,19,0.9548393487930298
1666270796.9012725,20,0.9546753168106079
1666270847.980328,21,0.9680670499801636
1666270895.5102684,22,0.9751867651939392
1666270943.2381487,23,0.974483847618103
1666270986.9923093,24,0.9785019755363464
1666271030.146182,25,0.9795524477958679
1666271073.366866,26,0.9797773361206055
1666271117.0136063,27,0.9778343439102173
1666271160.075482,28,0.9719623923301697
1666271203.5141757,29,0.8908275365829468
1666271246.8130372,30,0.9682455062866211
1666271290.1454043,31,0.9765174388885498
1666271333.2612622,32,0.9789825677871704
1666271376.2834423,33,0.9786815643310547
1666271419.327699,34,0.9755129814147949
1666271462.3651407,35,0.980273425579071
1666271505.3552845,36,0.9771527051925659
1666271548.2989836,37,0.9773060083389282
1666271591.2478914,38,0.9791481494903564
1666271634.7316163,39,0.977677047252655
1666271677.7682555,40,0.9759631156921387
1666271720.5693462,41,0.9781656265258789
1666271763.534932,42,0.9799558520317078
1666271806.6346626,43,0.9761133193969727
1666271849.4696276,44,0.9798495173454285
1666271893.030115,45,0.9767369031906128
1666271936.1376886,46,0.9798890352249146
1666271980.5454009,47,0.9799584746360779
1666272023.455279,48,0.9790861010551453
1666272066.5237908,49,0.9778351783752441
1666272110.1499918,50,0.9801103472709656
1666272153.463153,51,0.9745415449142456
1666272196.2183223,52,0.9789227843284607
1666272239.4591613,53,0.977554202079773
1666272282.4666705,54,0.9769698977470398
1666272325.153327,55,0.9782007932662964
1666272367.8268242,56,0.980193555355072
1666272410.5993829,57,0.9769319295883179
1666272453.422454,58,0.9772170782089233
1666272496.198264,59,0.9769421815872192
1666272539.272736,60,0.9778465032577515
1666272586.4330564,61,0.978615403175354
1666272629.801786,62,0.9797290563583374
1666272677.1981847,63,0.9790909290313721
1666272720.1987739,64,0.9768608808517456
1666272763.3247685,65,0.974772572517395
1666272806.6365774,66,0.9736577868461609
1666272853.4121752,67,0.9767049551010132
1666272897.0245125,68,0.9758612513542175
1666272941.394198,69,0.9780475497245789
1666272984.8304749,70,0.9778660535812378
1666273028.5809925,71,0.9776114225387573
1666273072.0845897,72,0.975421667098999
1666273116.2691298,73,0.9790897369384766
1666273159.6242368,74,0.9775834083557129
1666273203.2037516,75,0.9786810278892517
1666273246.596944,76,0.9794845581054688
1666273290.0595043,77,0.9783584475517273
1666273336.1343687,78,0.9753350019454956
1666273380.573444,79,0.9773799777030945
1666273425.3136075,80,0.9782925844192505
1666273469.308563,81,0.9786494970321655
1666273512.9128253,82,0.9750444889068604
1666273557.0943317,83,0.9783563613891602
1666273602.5384014,84,0.9782905578613281
1666273649.7732015,85,0.9757800102233887
1666273698.711107,86,0.9808691740036011
1666273743.2081692,87,0.9784824848175049
1666273788.164718,88,0.9778718948364258
1666273832.1646156,89,0.9807270765304565
1666273877.3090935,90,0.9757368564605713
1666273922.7659914,91,0.9786497950553894
1666273968.1583028,92,0.9789230823516846
1666274012.6429682,93,0.9738744497299194
1666274056.892889,94,0.9776215553283691
1666274105.1859243,95,0.9786621928215027
1666274150.7045481,96,0.9771841764450073
1666274194.7958255,97,0.9750772714614868
1666274239.2263515,98,0.9792263507843018
1666274285.2664838,99,0.9792563915252686
